Linux-Kernel;5.15.7;app;rap;GPL-2.0-only
Bottleneck; 1.3.2; dll;unm;BSD-2-Clause
Flask; 1.1.4; dll;unm;BSD-3-Clause
Jinja2; 2.11.3; dll;unm;BSD-3-Clause
MarkupSafe; 2.0.1; dll;unm;BSD-3-Clause
PyYAML; 6.0; dll;unm;MIT
Werkzeug; 1.0.1; dll;unm;BSD-3-Clause
aiobotocore; 1.4.1; dll;unm;Apache-2.0
aiodns; 3.0.0; dll;unm;MIT
aiohttp; 3.7.4; dll;unm;Apache-2.0
aioitertools; 0.8.0; dll;unm;MIT
aniso8601; 9.0.1; dll;unm;BSD-3-Clause
asgiref; 3.4.1; dll;unm;BSD-3-Clause
async-timeout; 3.0.1; dll;unm;Apache-2.0
attrs; 21.2.0; dll;unm;MIT
behave; 1.2.6; dll;unm;BSD-2-Clause
boto3; 1.17.106; dll;unm;Apache-2.0
botocore; 1.20.106; dll;unm;Apache-2.0
brotlipy; 0.7.0; dll;unm;MIT
cchardet; 2.1.7;dll;unm;MPL-1.1
certifi; 2021.10.8;dll;unm;MPL 2.0
cffi; 1.15.0; dll;unm;MIT
chardet; 3.0.4; dll;unm;LGPL-2.1-only
click; 7.1.2; dll;unm;BSD-3-Clause
decorator; 5.1.0; dll;unm;BSD-2-Clause
fastapi; 0.68.1; dll;unm;MIT
flask-restplus; 0.13.0; dll;unm;BSD-3-Clause
gunicorn; 20.1.0; dll;unm;MIT
h11; 0.12.0; dll;unm;MIT
httptools; 0.2.0; dll;unm;MIT
idna; 2.10; dll;unm;BSD-3-Clause
itsdangerous; 1.1.0; dll;unm;BSD-3-Clause
jmespath; 0.10.0; dll;unm;MIT
jsonpath-rw; 1.4.0; dll;unm;Apache-2.0
jsonschema; 2.6.0; dll;unm;MIT
multidict; 5.2.0; dll;unm;Apache-2.0
numexpr; 2.7.2; dll;unm;MIT
numpy; 1.19.3; dll;unm;BSD-3-Clause
oauthlib; 3.1.1; dll;unm;BSD-3-Clause
pandas; 1.1.4; dll;unm;BSD-3-Clause
parse; 1.19.0; dll;unm;MIT
parse-type; 0.5.2; dll;unm;BSD-3-Clause
ply; 3.11; dll;unm;BSD-3-Clause
protobuf; 3.19.0; dll;unm;BSD-3-Clause
protobuf3-to-dict; 0.1.5; dll;unm;Public Domain
pycares; 4.1.2; dll;unm;MIT
pycparser; 2.20; dll;unm;BSD-3-Clause
pydantic; 1.8.2; dll;unm;MIT
pylicense; 0.1; dll;unm;MIT
pyrsistent; 0.18.0; dll;unm;MIT
python-dateutil; 2.8.1;dll;unm;Apache-2.0
python-dotenv; 0.10.1; dll;unm;BSD-3-Clause
pytz; 2020.1; dll;unm;MIT
requests; 2.13.0; dll;unm;Apache-2.0
requests-oauthlib; 1.3.0; dll;unm;ISC
s3transfer; 0.4.2; dll;unm;Apache-2.0
six; 1.16.0; dll;unm;MIT
scikit-learn; 0.20.3; dll;unm;BSD-3-Clause
scipy; 1.2.1; dll;unm;BSD-3-Clause
starlette; 0.14.2; dll;unm;BSD-3-Clause
typing-extensions; 3.10.0.2; dll;unm;PSF-2.0
tzlocal; 2.1; dll;unm;MIT
urllib3; 1.25.10; dll;unm;MIT
uvicorn; 0.15.0; dll;unm;BSD-3-Clause
uvloop; 0.16.0;dll;unm;Apache-2.0
watchgod; 0.7; dll;unm;MIT
websockets; 10.0; dll;unm;BSD-3-Clause
wrapt; 1.13.2; dll;unm;BSD-3-Clause
yarl; 1.7.0; dll;unm;Apache-2.0
